regio's ;perioden ;Bbp (marktprijzen) in mln euro;Bbp per inwoner in euro ;Bruto toegevoegde waarde, volumemutaties %;Beloning van werknemers in mln euro ;Werkzame personen|Werkzame personen totaal (x1000)
Groningen (PV);1995;12795;22928;.;5197;260,3
Groningen (PV);1996;13950;24995;6,4;5317;258,4
Groningen (PV);1997;14679;26305;1,3;5570;265,4
Groningen (PV);1998;14861;26585;0,6;5862;265,6
Groningen (PV);1999;15158;27004;2,1;6263;268,7
Groningen (PV);2000;17108;30303;1,9;6718;270,9
Groningen (PV);2001;18844;33148;2,2;7049;267,3
Groningen (PV);2002;19099;33405;0,9;7440;269,2
Groningen (PV);2003;19593;34153;-0,5;7724;271,6
Groningen (PV);2004;20043;34874;2;7845;267,3
Groningen (PV);2005;21450;37333;-0,8;7878;269
Groningen (PV);2006;23546;41033;0,1;8036;269,7
Groningen (PV);2007;24147;42102;1;8327;274,3
Groningen (PV);2008;27172;47357;3,3;8747;276,1
Groningen (PV);2009;24366;42348;-4,2;8967;273,9
Groningen (PV);2010;25095;43428;4,5;8842;278,6
Groningen (PV);2011;26024;44872;-0,7;9099;282,2
Groningen (PV);2012;27089;46602;-1;9205;278,9
Groningen (PV);2013;27919;47953;3,7;9299;275,5
Groningen (PV);2014;26144;44818;-2,8;9389;275,2
Groningen (PV);2015;24958;42749;-5,5;9450;277,1
Groningen (PV);2016;23460;40195;2;9864;284,4
Groningen (PV);2017;24036;41210;-0,4;10160;291,8
Groningen (PV);2018;24557;42088;-2,8;10559;295,2
Groningen (PV);2019*;24848;42480;-1;11000;300,4
Groningen (PV);2020*;23243;39641;-6,8;.;299
Fryslân (PV);1995;9164;15003;.;4604;251,9
Fryslân (PV);1996;9589;15629;3,3;4744;256,5
Fryslân (PV);1997;10064;16322;2,2;4950;259,9
Fryslân (PV);1998;10796;17422;5,1;5330;268,2
Fryslân (PV);1999;11382;18274;4;5740;276,8
Fryslân (PV);2000;12266;19547;3,5;6176;279,6
Fryslân (PV);2001;13249;20919;3,4;6554;276,4
Fryslân (PV);2002;13604;21323;-0,7;6831;279,9
Fryslân (PV);2003;14163;22098;1,6;7101;282,2
Fryslân (PV);2004;14457;22500;1,3;7231;281,1
Fryslân (PV);2005;15185;23630;2,4;7367;284,6
Fryslân (PV);2006;16108;25082;2,3;7527;285,7
Fryslân (PV);2007;17121;26639;4,2;7954;291,5
Fryslân (PV);2008;17902;27798;2;8349;293,7
Fryslân (PV);2009;17249;26720;-2,4;8503;288,2
Fryslân (PV);2010;17573;27169;0,9;8604;305,6
Fryslân (PV);2011;18204;28125;3,3;8853;308,6
Fryslân (PV);2012;18128;28017;-2,1;8863;307,1
Fryslân (PV);2013;18069;27945;-1,2;8718;297,5
Fryslân (PV);2014;18333;28367;1,6;8781;300
Fryslân (PV);2015;18208;28179;-1,7;8789;297,5
Fryslân (PV);2016;18430;28509;0,9;9120;303,1
Fryslân (PV);2017;19101;29519;1,4;9369;307,5
Fryslân (PV);2018;19989;30872;1,6;9804;311,3
Fryslân (PV);2019*;21206;32684;3;10366;317,2
Fryslân (PV);2020*;20996;32266;-3,2;.;316,5
Drenthe (PV);1995;7450;16334;.;3868;196,5
Drenthe (PV);1996;7828;17052;3,3;4021;199,8
Drenthe (PV);1997;8242;17809;2,3;4237;205,7
Drenthe (PV);1998;8681;18633;3,4;4455;205,8
Drenthe (PV);1999;9055;19330;2,9;4721;210,1
Drenthe (PV);2000;9719;20584;1,9;5041;211,2
Drenthe (PV);2001;10506;22041;3,1;5374;215,7
Drenthe (PV);2002;10971;22855;1,3;5800;224,1
Drenthe (PV);2003;11221;23288;-0,2;5925;220,6
Drenthe (PV);2004;11430;23670;0,9;5991;216,6
Drenthe (PV);2005;11953;24700;1,2;6038;220,1
Drenthe (PV);2006;12848;26472;2,7;6181;223,5
Drenthe (PV);2007;13649;28017;4,1;6567;228,1
Drenthe (PV);2008;14459;29567;2,2;7110;234,7
Drenthe (PV);2009;13478;27481;-4,1;6983;226,7
Drenthe (PV);2010;13538;27561;-0,1;6781;229,8
Drenthe (PV);2011;13792;28083;0,9;6970;229,2
Drenthe (PV);2012;13907;28361;-1,2;6995;230,5
Drenthe (PV);2013;13958;28518;-0,3;6918;228,4
Drenthe (PV);2014;13982;28606;0,9;7077;227,9
Drenthe (PV);2015;13848;28342;-2;7045;226,1
Drenthe (PV);2016;13916;28388;-0,5;7076;223,9
Drenthe (PV);2017;14423;29318;1,8;7257;229
Drenthe (PV);2018;15166;30817;1,8;7537;232,5
Drenthe (PV);2019*;15717;31885;0,6;7904;236,7
Drenthe (PV);2020*;15584;31532;-2,7;.;235,4
