"Regionale kerncijfers Nederland"
""
"";"";""
"Onderwerp";"Regio's";"Perioden";"";""
"Bedrijfsvestigingen|Bedrijfsvestigingen totaal";"Nederland";"2013";"aantal";"1341110"
"Bedrijfsvestigingen|Bedrijfsvestigingen totaal";"Nederland";"2014";"aantal";"1363490"
"Bedrijfsvestigingen|Bedrijfsvestigingen totaal";"Nederland";"2015";"aantal";"1418820"
"Bedrijfsvestigingen|Bedrijfsvestigingen totaal";"Nederland";"2016";"aantal";"1470645"
"Bedrijfsvestigingen|Bedrijfsvestigingen totaal";"Nederland";"2017";"aantal";"1508540"
"Bedrijfsvestigingen|Bedrijfsvestigingen totaal";"Nederland";"2018";"aantal";"1573885"
"Bedrijfsvestigingen|Bedrijfsvestigingen totaal";"Nederland";"2019";"aantal";"1646160"
"Bedrijfsvestigingen|Bedrijfsvestigingen totaal";"Nederland";"2020";"aantal";"1724690"
"Bedrijfsvestigingen|Bedrijfsvestigingen totaal";"Nederland";"2021";"aantal";""
"Bedrijfsvestigingen|Bedrijfsvestigingen totaal";"Groningen (PV)";"2013";"aantal";"39140"
"Bedrijfsvestigingen|Bedrijfsvestigingen totaal";"Groningen (PV)";"2014";"aantal";"39650"
"Bedrijfsvestigingen|Bedrijfsvestigingen totaal";"Groningen (PV)";"2015";"aantal";"41050"
"Bedrijfsvestigingen|Bedrijfsvestigingen totaal";"Groningen (PV)";"2016";"aantal";"42515"
"Bedrijfsvestigingen|Bedrijfsvestigingen totaal";"Groningen (PV)";"2017";"aantal";"43275"
"Bedrijfsvestigingen|Bedrijfsvestigingen totaal";"Groningen (PV)";"2018";"aantal";"44695"
"Bedrijfsvestigingen|Bedrijfsvestigingen totaal";"Groningen (PV)";"2019";"aantal";"46090"
"Bedrijfsvestigingen|Bedrijfsvestigingen totaal";"Groningen (PV)";"2020";"aantal";"47745"
"Bedrijfsvestigingen|Bedrijfsvestigingen totaal";"Groningen (PV)";"2021";"aantal";""
"Bedrijfsvestigingen|Bedrijfsvestigingen totaal";"Fryslân (PV)";"2013";"aantal";"50260"
"Bedrijfsvestigingen|Bedrijfsvestigingen totaal";"Fryslân (PV)";"2014";"aantal";"50995"
"Bedrijfsvestigingen|Bedrijfsvestigingen totaal";"Fryslân (PV)";"2015";"aantal";"52800"
"Bedrijfsvestigingen|Bedrijfsvestigingen totaal";"Fryslân (PV)";"2016";"aantal";"54455"
"Bedrijfsvestigingen|Bedrijfsvestigingen totaal";"Fryslân (PV)";"2017";"aantal";"55330"
"Bedrijfsvestigingen|Bedrijfsvestigingen totaal";"Fryslân (PV)";"2018";"aantal";"57090"
"Bedrijfsvestigingen|Bedrijfsvestigingen totaal";"Fryslân (PV)";"2019";"aantal";"58760"
"Bedrijfsvestigingen|Bedrijfsvestigingen totaal";"Fryslân (PV)";"2020";"aantal";"60680"
"Bedrijfsvestigingen|Bedrijfsvestigingen totaal";"Fryslân (PV)";"2021";"aantal";""
"Bedrijfsvestigingen|Bedrijfsvestigingen totaal";"Drenthe (PV)";"2013";"aantal";"34630"
"Bedrijfsvestigingen|Bedrijfsvestigingen totaal";"Drenthe (PV)";"2014";"aantal";"35230"
"Bedrijfsvestigingen|Bedrijfsvestigingen totaal";"Drenthe (PV)";"2015";"aantal";"36440"
"Bedrijfsvestigingen|Bedrijfsvestigingen totaal";"Drenthe (PV)";"2016";"aantal";"37555"
"Bedrijfsvestigingen|Bedrijfsvestigingen totaal";"Drenthe (PV)";"2017";"aantal";"38210"
"Bedrijfsvestigingen|Bedrijfsvestigingen totaal";"Drenthe (PV)";"2018";"aantal";"39400"
"Bedrijfsvestigingen|Bedrijfsvestigingen totaal";"Drenthe (PV)";"2019";"aantal";"40600"
"Bedrijfsvestigingen|Bedrijfsvestigingen totaal";"Drenthe (PV)";"2020";"aantal";"41930"
"Bedrijfsvestigingen|Bedrijfsvestigingen totaal";"Drenthe (PV)";"2021";"aantal";""
"Bron: CBS"
