"Onderwerp","Perioden","Totalen","Regio's"
"Bbp marktprijzen in mln euro","1995","12795","Groningen (PV)"
"Bbp marktprijzen in mln euro","1995","329547","Nederland"
"Bbp marktprijzen in mln euro","1995","7450","Drenthe (PV)"
"Bbp marktprijzen in mln euro","1995","9164","Fryslân (PV)"
"Bbp marktprijzen in mln euro","1996","13950","Groningen (PV)"
"Bbp marktprijzen in mln euro","1996","344625","Nederland"
"Bbp marktprijzen in mln euro","1996","7828","Drenthe (PV)"
"Bbp marktprijzen in mln euro","1996","9589","Fryslân (PV)"
"Bbp marktprijzen in mln euro","1997","10064","Fryslân (PV)"
"Bbp marktprijzen in mln euro","1997","14679","Groningen (PV)"
"Bbp marktprijzen in mln euro","1997","369046","Nederland"
"Bbp marktprijzen in mln euro","1997","8242","Drenthe (PV)"
"Bbp marktprijzen in mln euro","1998","10796","Fryslân (PV)"
"Bbp marktprijzen in mln euro","1998","14861","Groningen (PV)"
"Bbp marktprijzen in mln euro","1998","394295","Nederland"
"Bbp marktprijzen in mln euro","1998","8681","Drenthe (PV)"
"Bbp marktprijzen in mln euro","1999","11382","Fryslân (PV)"
"Bbp marktprijzen in mln euro","1999","15158","Groningen (PV)"
"Bbp marktprijzen in mln euro","1999","419459","Nederland"
"Bbp marktprijzen in mln euro","1999","9055","Drenthe (PV)"
"Bbp marktprijzen in mln euro","2000","12266","Fryslân (PV)"
"Bbp marktprijzen in mln euro","2000","17108","Groningen (PV)"
"Bbp marktprijzen in mln euro","2000","452007","Nederland"
"Bbp marktprijzen in mln euro","2000","9719","Drenthe (PV)"
"Bbp marktprijzen in mln euro","2001","10506","Drenthe (PV)"
"Bbp marktprijzen in mln euro","2001","13249","Fryslân (PV)"
"Bbp marktprijzen in mln euro","2001","18844","Groningen (PV)"
"Bbp marktprijzen in mln euro","2001","481881","Nederland"
"Bbp marktprijzen in mln euro","2002","10971","Drenthe (PV)"
"Bbp marktprijzen in mln euro","2002","13604","Fryslân (PV)"
"Bbp marktprijzen in mln euro","2002","19099","Groningen (PV)"
"Bbp marktprijzen in mln euro","2002","501137","Nederland"
"Bbp marktprijzen in mln euro","2003","11221","Drenthe (PV)"
"Bbp marktprijzen in mln euro","2003","14163","Fryslân (PV)"
"Bbp marktprijzen in mln euro","2003","19593","Groningen (PV)"
"Bbp marktprijzen in mln euro","2003","512810","Nederland"
"Bbp marktprijzen in mln euro","2004","11430","Drenthe (PV)"
"Bbp marktprijzen in mln euro","2004","14457","Fryslân (PV)"
"Bbp marktprijzen in mln euro","2004","20043","Groningen (PV)"
"Bbp marktprijzen in mln euro","2004","529286","Nederland"
"Bbp marktprijzen in mln euro","2005","11953","Drenthe (PV)"
"Bbp marktprijzen in mln euro","2005","15185","Fryslân (PV)"
"Bbp marktprijzen in mln euro","2005","21450","Groningen (PV)"
"Bbp marktprijzen in mln euro","2005","550883","Nederland"
"Bbp marktprijzen in mln euro","2006","12848","Drenthe (PV)"
"Bbp marktprijzen in mln euro","2006","16108","Fryslân (PV)"
"Bbp marktprijzen in mln euro","2006","23546","Groningen (PV)"
"Bbp marktprijzen in mln euro","2006","584546","Nederland"
"Bbp marktprijzen in mln euro","2007","13649","Drenthe (PV)"
"Bbp marktprijzen in mln euro","2007","17121","Fryslân (PV)"
"Bbp marktprijzen in mln euro","2007","24147","Groningen (PV)"
"Bbp marktprijzen in mln euro","2007","619170","Nederland"
"Bbp marktprijzen in mln euro","2008","14459","Drenthe (PV)"
"Bbp marktprijzen in mln euro","2008","17902","Fryslân (PV)"
"Bbp marktprijzen in mln euro","2008","27172","Groningen (PV)"
"Bbp marktprijzen in mln euro","2008","647198","Nederland"
"Bbp marktprijzen in mln euro","2009","13478","Drenthe (PV)"
"Bbp marktprijzen in mln euro","2009","17249","Fryslân (PV)"
"Bbp marktprijzen in mln euro","2009","24366","Groningen (PV)"
"Bbp marktprijzen in mln euro","2009","624842","Nederland"
"Bbp marktprijzen in mln euro","2010","13538","Drenthe (PV)"
"Bbp marktprijzen in mln euro","2010","17573","Fryslân (PV)"
"Bbp marktprijzen in mln euro","2010","25095","Groningen (PV)"
"Bbp marktprijzen in mln euro","2010","639187","Nederland"
"Bbp marktprijzen in mln euro","2011","13792","Drenthe (PV)"
"Bbp marktprijzen in mln euro","2011","18204","Fryslân (PV)"
"Bbp marktprijzen in mln euro","2011","26024","Groningen (PV)"
"Bbp marktprijzen in mln euro","2011","650359","Nederland"
"Bbp marktprijzen in mln euro","2012","13907","Drenthe (PV)"
"Bbp marktprijzen in mln euro","2012","18128","Fryslân (PV)"
"Bbp marktprijzen in mln euro","2012","27089","Groningen (PV)"
"Bbp marktprijzen in mln euro","2012","652966","Nederland"
"Bbp marktprijzen in mln euro","2013","13958","Drenthe (PV)"
"Bbp marktprijzen in mln euro","2013","18069","Fryslân (PV)"
"Bbp marktprijzen in mln euro","2013","27919","Groningen (PV)"
"Bbp marktprijzen in mln euro","2013","660463","Nederland"
"Bbp marktprijzen in mln euro","2014","13982","Drenthe (PV)"
"Bbp marktprijzen in mln euro","2014","18333","Fryslân (PV)"
"Bbp marktprijzen in mln euro","2014","26144","Groningen (PV)"
"Bbp marktprijzen in mln euro","2014","671560","Nederland"
"Bbp marktprijzen in mln euro","2015","13848","Drenthe (PV)"
"Bbp marktprijzen in mln euro","2015","18208","Fryslân (PV)"
"Bbp marktprijzen in mln euro","2015","24958","Groningen (PV)"
"Bbp marktprijzen in mln euro","2015","690008","Nederland"
"Bbp marktprijzen in mln euro","2016","13916","Drenthe (PV)"
"Bbp marktprijzen in mln euro","2016","18430","Fryslân (PV)"
"Bbp marktprijzen in mln euro","2016","23460","Groningen (PV)"
"Bbp marktprijzen in mln euro","2016","708337","Nederland"
"Bbp marktprijzen in mln euro","2017","14423","Drenthe (PV)"
"Bbp marktprijzen in mln euro","2017","19101","Fryslân (PV)"
"Bbp marktprijzen in mln euro","2017","24036","Groningen (PV)"
"Bbp marktprijzen in mln euro","2017","738146","Nederland"
"Bbp marktprijzen in mln euro","2018","15166","Drenthe (PV)"
"Bbp marktprijzen in mln euro","2018","19989","Fryslân (PV)"
"Bbp marktprijzen in mln euro","2018","24557","Groningen (PV)"
"Bbp marktprijzen in mln euro","2018","773987","Nederland"
"Bbp marktprijzen in mln euro","2019*","15717","Drenthe (PV)"
"Bbp marktprijzen in mln euro","2019*","21206","Fryslân (PV)"
"Bbp marktprijzen in mln euro","2019*","24848","Groningen (PV)"
"Bbp marktprijzen in mln euro","2019*","813055","Nederland"
"Bbp marktprijzen in mln euro","2020*","15584","Drenthe (PV)"
"Bbp marktprijzen in mln euro","2020*","20996","Fryslân (PV)"
"Bbp marktprijzen in mln euro","2020*","23243","Groningen (PV)"
