"Regionale kerncijfers Nederland"
""
"";"";""
"Onderwerp";"Regio's";"Perioden";"";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Nederland";"1995";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Nederland";"1996";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Nederland";"1997";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Nederland";"1998";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Nederland";"1999";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Nederland";"2000";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Nederland";"2001";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Nederland";"2002";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Nederland";"2003";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Nederland";"2004";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Nederland";"2005";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Nederland";"2006";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Nederland";"2007";"aantal";"1354050"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Nederland";"2008";"aantal";"1321200"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Nederland";"2009";"aantal";"1456400"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Nederland";"2010";"aantal";"1482350"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Nederland";"2011";"aantal";"1498070"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Nederland";"2012";"aantal";"1577460"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Nederland";"2013";"aantal";"4837450"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Nederland";"2014";"aantal";"4939430"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Nederland";"2015";"aantal";"4996410"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Nederland";"2016";"aantal";"5013840"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Nederland";"2017";"aantal";"4977430"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Nederland";"2018";"aantal";"4912660"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Nederland";"2019";"aantal";"4875300"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Nederland";"2020";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Nederland";"2021";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Groningen (PV)";"1995";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Groningen (PV)";"1996";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Groningen (PV)";"1997";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Groningen (PV)";"1998";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Groningen (PV)";"1999";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Groningen (PV)";"2000";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Groningen (PV)";"2001";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Groningen (PV)";"2002";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Groningen (PV)";"2003";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Groningen (PV)";"2004";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Groningen (PV)";"2005";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Groningen (PV)";"2006";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Groningen (PV)";"2007";"aantal";"56220"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Groningen (PV)";"2008";"aantal";"54960"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Groningen (PV)";"2009";"aantal";"59610"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Groningen (PV)";"2010";"aantal";"60540"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Groningen (PV)";"2011";"aantal";"61110"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Groningen (PV)";"2012";"aantal";"64030"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Groningen (PV)";"2013";"aantal";"166930"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Groningen (PV)";"2014";"aantal";"170350"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Groningen (PV)";"2015";"aantal";"171370"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Groningen (PV)";"2016";"aantal";"171760"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Groningen (PV)";"2017";"aantal";"169500"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Groningen (PV)";"2018";"aantal";"166540"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Groningen (PV)";"2019";"aantal";"165350"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Groningen (PV)";"2020";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Groningen (PV)";"2021";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Fryslân (PV)";"1995";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Fryslân (PV)";"1996";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Fryslân (PV)";"1997";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Fryslân (PV)";"1998";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Fryslân (PV)";"1999";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Fryslân (PV)";"2000";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Fryslân (PV)";"2001";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Fryslân (PV)";"2002";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Fryslân (PV)";"2003";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Fryslân (PV)";"2004";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Fryslân (PV)";"2005";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Fryslân (PV)";"2006";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Fryslân (PV)";"2007";"aantal";"51150"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Fryslân (PV)";"2008";"aantal";"49750"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Fryslân (PV)";"2009";"aantal";"55280"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Fryslân (PV)";"2010";"aantal";"56140"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Fryslân (PV)";"2011";"aantal";"58070"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Fryslân (PV)";"2012";"aantal";"62220"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Fryslân (PV)";"2013";"aantal";"185600"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Fryslân (PV)";"2014";"aantal";"188810"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Fryslân (PV)";"2015";"aantal";"189990"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Fryslân (PV)";"2016";"aantal";"190230"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Fryslân (PV)";"2017";"aantal";"187250"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Fryslân (PV)";"2018";"aantal";"184050"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Fryslân (PV)";"2019";"aantal";"182630"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Fryslân (PV)";"2020";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Fryslân (PV)";"2021";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Drenthe (PV)";"1995";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Drenthe (PV)";"1996";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Drenthe (PV)";"1997";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Drenthe (PV)";"1998";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Drenthe (PV)";"1999";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Drenthe (PV)";"2000";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Drenthe (PV)";"2001";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Drenthe (PV)";"2002";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Drenthe (PV)";"2003";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Drenthe (PV)";"2004";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Drenthe (PV)";"2005";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Drenthe (PV)";"2006";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Drenthe (PV)";"2007";"aantal";"42400"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Drenthe (PV)";"2008";"aantal";"42050"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Drenthe (PV)";"2009";"aantal";"46690"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Drenthe (PV)";"2010";"aantal";"47470"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Drenthe (PV)";"2011";"aantal";"47190"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Drenthe (PV)";"2012";"aantal";"49860"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Drenthe (PV)";"2013";"aantal";"149600"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Drenthe (PV)";"2014";"aantal";"152580"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Drenthe (PV)";"2015";"aantal";"153830"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Drenthe (PV)";"2016";"aantal";"153920"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Drenthe (PV)";"2017";"aantal";"152580"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Drenthe (PV)";"2018";"aantal";"150110"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Drenthe (PV)";"2019";"aantal";"149240"
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Drenthe (PV)";"2020";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers, totaal|Uitkeringsontvangers, totaal";"Drenthe (PV)";"2021";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Nederland";"1995";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Nederland";"1996";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Nederland";"1997";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Nederland";"1998";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Nederland";"1999";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Nederland";"2000";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Nederland";"2001";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Nederland";"2002";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Nederland";"2003";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Nederland";"2004";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Nederland";"2005";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Nederland";"2006";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Nederland";"2007";"aantal";"191530"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Nederland";"2008";"aantal";"173870"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Nederland";"2009";"aantal";"272140"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Nederland";"2010";"aantal";"268520"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Nederland";"2011";"aantal";"275640"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Nederland";"2012";"aantal";"351230"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Nederland";"2013";"aantal";"418590"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Nederland";"2014";"aantal";"411470"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Nederland";"2015";"aantal";"393020"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Nederland";"2016";"aantal";"362900"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Nederland";"2017";"aantal";"307430"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Nederland";"2018";"aantal";"254480"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Nederland";"2019";"aantal";"221610"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Nederland";"2020";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Nederland";"2021";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Groningen (PV)";"1995";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Groningen (PV)";"1996";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Groningen (PV)";"1997";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Groningen (PV)";"1998";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Groningen (PV)";"1999";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Groningen (PV)";"2000";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Groningen (PV)";"2001";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Groningen (PV)";"2002";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Groningen (PV)";"2003";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Groningen (PV)";"2004";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Groningen (PV)";"2005";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Groningen (PV)";"2006";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Groningen (PV)";"2007";"aantal";"8820"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Groningen (PV)";"2008";"aantal";"8350"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Groningen (PV)";"2009";"aantal";"11360"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Groningen (PV)";"2010";"aantal";"10900"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Groningen (PV)";"2011";"aantal";"11000"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Groningen (PV)";"2012";"aantal";"13250"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Groningen (PV)";"2013";"aantal";"14610"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Groningen (PV)";"2014";"aantal";"14800"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Groningen (PV)";"2015";"aantal";"14130"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Groningen (PV)";"2016";"aantal";"13270"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Groningen (PV)";"2017";"aantal";"10850"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Groningen (PV)";"2018";"aantal";"8790"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Groningen (PV)";"2019";"aantal";"7650"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Groningen (PV)";"2020";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Groningen (PV)";"2021";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Fryslân (PV)";"1995";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Fryslân (PV)";"1996";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Fryslân (PV)";"1997";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Fryslân (PV)";"1998";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Fryslân (PV)";"1999";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Fryslân (PV)";"2000";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Fryslân (PV)";"2001";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Fryslân (PV)";"2002";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Fryslân (PV)";"2003";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Fryslân (PV)";"2004";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Fryslân (PV)";"2005";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Fryslân (PV)";"2006";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Fryslân (PV)";"2007";"aantal";"9600"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Fryslân (PV)";"2008";"aantal";"8810"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Fryslân (PV)";"2009";"aantal";"13150"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Fryslân (PV)";"2010";"aantal";"13120"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Fryslân (PV)";"2011";"aantal";"13960"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Fryslân (PV)";"2012";"aantal";"17350"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Fryslân (PV)";"2013";"aantal";"19260"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Fryslân (PV)";"2014";"aantal";"18660"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Fryslân (PV)";"2015";"aantal";"17430"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Fryslân (PV)";"2016";"aantal";"15820"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Fryslân (PV)";"2017";"aantal";"12670"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Fryslân (PV)";"2018";"aantal";"10360"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Fryslân (PV)";"2019";"aantal";"9300"
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Fryslân (PV)";"2020";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Fryslân (PV)";"2021";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Drenthe (PV)";"1995";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Drenthe (PV)";"1996";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Drenthe (PV)";"1997";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Drenthe (PV)";"1998";"aantal";""
"Sociale zekerheid|Uitkeringsontvangers per soort uitkering|Werkloosheid";"Drenthe (PV)";"1999";"aantal";""
